Pos,Num,Player Name,Status,Quick Stats,TCKL,SCK,FF,INT,Team
LB,55,"Mayo, David",ACT,TCKL,19,0,0,--,CAR
MLB,55,"McClain, Rolando",UFA,TCKL,--,--,--,--,DAL
OLB,50,"McClellan, Albert",ACT,TCKL,55,1,0,--,BAL
OLB,58,"McClellin, Shea",ACT,TCKL,41,1,0,--,NE
LB,41,"McDonald, Dewey",ACT,TCKL,8,0,0,--,SEA
ILB,55,"McKinney, Benardrick",ACT,TCKL,129,5,1,--,HOU
LB,57,"McKinzy, Cassanova",ACT,TCKL,--,--,--,--,LA
LB,52,"McMillan, Raekwon",ACT,TCKL,--,--,--,--,MIA
LB,45,"McNary, Josh",ACT,TCKL,23,0,1,--,JAX
OLB,92,"McPhee, Pernell",ACT,TCKL,16,4,1,--,CHI
OLB,59,"Mercilus, Whitney",ACT,TCKL,53,7.5,1,--,HOU
OLB,58,"Milano, Matt",ACT,TCKL,--,--,--,--,BUF
OLB,58,"Miller, Von",ACT,TCKL,78,13.5,3,--,DEN
LB,52,"Mingo, Barkevious",ACT,TCKL,11,0,0,--,IND
LB,51,"Minter, Kevin",ACT,TCKL,81,3.5,0,--,CIN
OLB,55,"Misi, Koa",ACT,TCKL,22,0,0,--,MIA
OLB,55,"Moats, Arthur",ACT,TCKL,21,3.5,0,--,PIT
LB,50,"Moore, Charmeachealle",ACT,TCKL,--,--,--,--,LAC
LB,54,"Moore, Sio",ACT,TCKL,65,0,2,0,HOU
OLB,91,"Morgan, Derrick",ACT,TCKL,33,9,0,--,TEN
OLB,57,"Morgan, Mike",UFA,TCKL,12,0,0,1,SEA
ILB,44,"Morrison, Antonio",ACT,TCKL,52,0,0,--,IND
LB,35,"Morrow, Nicholas",ACT,TCKL,--,--,--,--,OAK
ILB,57,"Mosley, C.J.",ACT,TCKL,92,0,1,4,BAL
LB,48,"Mount, Deiontrez",ACT,TCKL,0,--,--,--,IND
LB,46,"Munson, Calvin",ACT,TCKL,--,--,--,--,NYG
LB,93,"Murphy, Trent",ACT,TCKL,47,9,3,--,WAS
ILB,52,"Nelson, Corey",ACT,TCKL,67,0,0,--,DEN
LB,48,"Newsom, Donavin",ACT,TCKL,--,--,--,--,SF
LB,56,"Nickerson, Hardy",ACT,TCKL,--,--,--,--,CIN
LB,52,"Nicolas, Dadi",ACT,TCKL,0,0,0,--,KC
OLB,50,"Ninkovich, Rob",ACT,TCKL,32,4,1,--,NE
ILB,52,"Norris, Jared",ACT,TCKL,6,0,0,--,CAR
LB,46,"Nzeocha, Eric",ACT,TCKL,--,--,--,--,TB
OLB,53,"Nzeocha, Mark",ACT,TCKL,3,0,0,--,DAL
LB,51,"Ochi, Victor",ACT,TCKL,1,0,0,--,TEN
MLB,52,"Ogletree, Alec",ACT,TCKL,136,0,1,2,LA
LB,44,"Okine, Earl",ACT,TCKL,--,--,--,--,KC
LB,49,"Olugbode, Kenneth",ACT,TCKL,--,--,--,--,CLE
LB,49,"Onwualu, James",ACT,TCKL,--,--,--,--,LAC
ILB,48,"Onwuasor, Patrick",ACT,TCKL,21,0,1,--,BAL
OLB,98,"Orakpo, Brian",ACT,TCKL,46,10.5,1,--,TEN
LB,49,"Palacio, Kache",ACT,TCKL,--,--,--,--,SEA
LB,50,"Palmer, Nate",ACT,TCKL,12,0,0,--,TEN
LB,58,"Payne, Donald",ACT,TCKL,--,--,--,--,BAL
LB,58,"Paysinger, Spencer",ACT,TCKL,58,0,0,--,NYJ
LB,22,"Peppers, Jabrill",ACT,TCKL,--,--,--,--,CLE
ILB,53,"Perry, Joshua",ACT,TCKL,22,0,1,--,LAC
OLB,53,"Perry, Nick",ACT,TCKL,52,11,0,1,GB
ILB,52,"Perryman, Denzel",ACT,TCKL,72,2,0,1,LAC
LB,52,"Peters, Brian",ACT,TCKL,11,0,0,--,HOU
LB,97,"Peters, Otha",ACT,TCKL,--,--,--,--,SEA
OLB,58,"Pierre-Louis, Kevin",ACT,TCKL,12,0,0,--,SEA
LB,37,"Pinkins, Eric",ACT,TCKL,1,0,0,--,NYG
OLB,53,"Porter, Sean",UFA,TCKL,0,--,--,--,JAX
MLB,51,"Posluszny, Paul",ACT,TCKL,133,1.5,0,1,JAX
LB,59,"Powell, Ronald",ACT,TCKL,0,--,--,--,SEA
LB,58,"Pratt, Dayon",ACT,TCKL,--,--,--,--,HOU
LB,53,"President, Gimel",ACT,TCKL,--,--,--,--,HOU
OLB,52,"Pullard, Hayes",ACT,TCKL,9,0,0,--,JAX
LB,94,"Quinn, Robert",ACT,TCKL,10,4,2,--,LA
LB,49,"Ragin, Johnny",ACT,TCKL,--,--,--,--,TEN
ILB,59,"Ragland, Reggie",ACT,TCKL,--,--,--,--,BUF
LB,42,"Rashad, Shakeel",ACT,TCKL,--,--,--,--,HOU
OLB,56,"Ray, Shane",ACT,TCKL,48,8,1,--,DEN
LB,43,"Reddick, Haason",ACT,TCKL,--,--,--,--,ARI
LB,44,"Reeves-Maybin, Jalen",ACT,TCKL,--,--,--,--,DET
LB,57,"Reilly, Trevor",ACT,TCKL,2,0,0,--,MIA
OLB,57,"Rey, Vincent",ACT,TCKL,86,0,0,1,CIN
MLB,53,"Reynolds, LaRoy",ACT,TCKL,30,0,0,--,ATL
LB,46,"Rhodes, Luke",ACT,TCKL,0,--,--,--,IND
OLB,42,"Riley, Duke",ACT,TCKL,--,--,--,--,ATL
MLB,54,"Riley, Perry",UFA,TCKL,48,0,2,--,OAK
OLB,52,"Roberts, Elandon",ACT,TCKL,45,0,1,--,NE
LB,45,"Robertson, Pete",ACT,TCKL,--,--,--,--,WAS
OLB,52,"Robertson, Craig",ACT,TCKL,115,1,0,1,NO
LB,74,"Robertson-Harris, Roy",ACT,TCKL,--,--,--,--,CHI
OLB,51,"Robinson, Edmond",ACT,TCKL,2,0,0,--,MIN
LB,57,"Robinson, Keenan",ACT,TCKL,83,0,0,--,NYG
LB,54,"Rush, Marcus",ACT,TCKL,0,--,--,--,KC
ILB,47,"Ryan, Jake",ACT,TCKL,82,0,0,--,GB
LB,57,"Scarlett, Brennan",ACT,TCKL,13,0,0,--,HOU
LB,45,"Scearce, Alex",ACT,TCKL,--,--,--,--,CHI
OLB,53,"Schobert, Joe",ACT,TCKL,28,0.5,0,--,CLE
ILB,50,"Shazier, Ryan",ACT,TCKL,87,3.5,3,3,PIT
LB,93,"Sheard, Jabaal",ACT,TCKL,33,5,0,--,IND
LB,,"Sheldon, Brady",ACT,TCKL,--,--,--,--,OAK
MLB,91,"Sheppard, Kelvin",UFA,TCKL,50,0,0,--,NYG
LB,49,"Sickels, Garrett",ACT,TCKL,--,--,--,--,IND
LB,51,"Simon, John",ACT,TCKL,51,3.5,1,--,IND
LB,53,"Skinner, Deontae",ACT,TCKL,5,0,0,--,NYG
LB,57,"Skuta, Dan",ACT,TCKL,18,0,0,--,CHI
OLB,99,"Smith, Aldon",SUS,TCKL,--,--,--,--,OAK
OLB,51,"Smith, Daryl",UFA,TCKL,35,0,0,1,TB
OLB,54,"Smith, Jaylon",ACT,TCKL,--,--,--,--,DAL
OLB,51,"Smith, Malcolm",ACT,TCKL,103,0,2,1,SF
OLB,94,"Smith, Preston",ACT,TCKL,38,4.5,0,1,WAS
OLB,50,"Smith, Telvin",ACT,TCKL,118,1,0,2,JAX
ILB,48,"Smith, Terrance",ACT,TCKL,3,0,0,--,KC
