Pos,Num,Player Name,Status,REC,YDS,AVG,TDS,Team
WR,12,"Erickson, Alex",ACT,6,71,11.8,0,CIN
WR,,"Estime, Brisly",RES,--,--,--,--,NYJ
WR,16,"Etta-Tawo, Amba",ACT,--,--,--,--,JAX
WR,13,"Evans, Mike",ACT,96,"1,321",13.8,12,TB
WR,11,"Fitzgerald, Larry",ACT,107,"1,023",9.6,6,ARI
WR,18,"Floyd, Michael",ACT,37,488,13.2,5,MIN
WR,83,"Ford, Dontez",ACT,--,--,--,--,DET
WR,15,"Ford, Isaiah",ACT,--,--,--,--,MIA
WR,16,"Fowler, Bennie",ACT,11,145,13.2,2,DEN
WR,86,"Foxx, Deshon",ACT,--,--,--,--,NYJ
WR,81,"Frazier, Mose",ACT,--,--,--,--,CAR
WR,15,"Fruechte, Isaac",ACT,0,0,--,0,MIN
WR,11,"Fuller, Corey",ACT,0,0,0,0,NO
WR,13,"Fuller, Devin",ACT,--,--,--,--,ATL
WR,15,"Fuller, Will",ACT,47,635,13.5,2,HOU
WR,17,"Funchess, Devin",ACT,23,371,16.1,4,CAR
WR,18,"Gabriel, Taylor",ACT,35,579,16.5,6,ATL
WR,15,"Garcon, Pierre",ACT,79,"1,041",13.2,3,SF
WR,15,"Garrett, Keyarris",ACT,--,--,--,--,CAR
WR,19,"Gentry, Tanner",ACT,--,--,--,--,CHI
WR,80,"Gibson, Shelton",ACT,--,--,--,--,PHI
WR,19,"Ginn, Ted",ACT,54,752,13.9,4,NO
WR,12,"Godwin, Chris",ACT,--,--,--,--,TB
WR,10,"Golden, Brittan",ACT,8,82,10.3,1,ARI
WR,19,"Golladay, Kenny",ACT,--,--,--,--,DET
WR,11,"Goodwin, Marquise",ACT,29,431,14.9,3,SF
WR,12,"Gordon, Josh",SUS,--,--,--,--,CLE
WR,19,"Grant, Jakeem",ACT,0,0,--,0,MIA
WR,14,"Grant, Ryan",ACT,9,76,8.4,0,WAS
WR,16,"Gray, Deante'",ACT,--,--,--,--,HOU
WR,13,"Grayson, Cyril",ACT,--,--,--,--,SEA
WR,18,"Green, A.J.",ACT,66,964,14.6,4,CIN
WR,13,"Greene, Rashad",ACT,5,32,6.4,0,JAX
WR,17,"Hall, Marvin",ACT,--,--,--,--,ATL
WR,16,"Hall, Rannell",ACT,--,--,--,--,CLE
WR,83,"Hamilton, Cobi",ACT,17,234,13.8,2,PIT
WR,9,"Hamilton, Karel",ACT,--,--,--,--,CIN
WR,14,"Hammond, Frankie",ACT,--,--,--,--,NYJ
WR,6,"Hansen, Chad",ACT,--,--,--,--,NYJ
WR,19,"Hardee, Justin",ACT,--,--,--,--,HOU
WR,14,"Hardy, Justin",ACT,21,203,9.7,4,ATL
