Pos,Num,Player Name,Status,Quick Stats,TCKL,SCK,FF,INT,Team
DE,95,"Jones, Datone",ACT,TCKL,22,1,0,--,MIN
DT,96,"Jones, D.J.",ACT,TCKL,--,--,--,--,SF
DE,55,"Jones, J.T.",ACT,TCKL,--,--,--,--,ATL
DT,73,"Jones, Jarron",ACT,TCKL,--,--,--,--,NYG
DT,92,"Jones, Nazair",ACT,TCKL,--,--,--,--,SEA
DE,94,"Jordan, Cameron",ACT,TCKL,58,7.5,1,--,NO
DE,95,"Jordan, Dion",ACT,TCKL,--,--,--,--,SEA
DT,98,"Joseph, Linval",ACT,TCKL,77,4,3,--,MIN
DE,62,"Kallon, Francis",ACT,TCKL,--,--,--,--,PIT
DE,94,"Kamalu, Ufomba",ACT,TCKL,5,1,0,--,HOU
DE,92,"Kaufusi, Bronson",ACT,TCKL,--,--,--,--,BAL
NT,92,"Kerr, Zach",ACT,TCKL,19,2.5,0,--,DEN
DE,74,"Kidder, Caleb",ACT,TCKL,--,--,--,--,MIN
NT,96,"Kilgo, Darius",ACT,TCKL,5,0,0,0,NE
DE,93,"King, David",ACT,TCKL,0,--,--,--,KC
DE,97,"Klug, Karl",ACT,TCKL,26,1.5,0,--,TEN
DE,92,"Kpassagnon, Tanoh",ACT,TCKL,--,--,--,--,KC
DE,,"Kruger, Paul",UFA,TCKL,25,1.5,1,--,NO
DE,75,"Lambert, DaVonte",ACT,TCKL,14,0,1,--,TB
DE,46,"Landrum, Chris",ACT,TCKL,4,1,0,--,LAC
DE,90,"Langford, Kendall",ACT,TCKL,10,0,0,--,IND
DE,72,"Lanier, Anthony",ACT,TCKL,0,0,0,--,WAS
DT,75,"Latham, Darius",ACT,TCKL,17,0,0,--,OAK
DE,90,"Lawrence, Demarcus",ACT,TCKL,11,1,1,--,DAL
DT,68,"Lawrence, Devaroe",ACT,TCKL,--,--,--,--,NO
DE,90,"Lawson, Shaq",ACT,TCKL,13,2,1,--,BUF
DE,98,"Ledbetter, Jeremiah",ACT,TCKL,--,--,--,--,DET
DE,40,"Leslie, Darnell",ACT,TCKL,--,--,--,--,DAL
DT,97,"Lewis, Marquavius",ACT,TCKL,--,--,--,--,BUF
DE,67,"Lewis-Moore, Kapron",ACT,TCKL,--,--,--,--,CHI
DT,93,"Liggins, Jeremy",ACT,TCKL,--,--,--,--,SEA
NT,98,"Lissemore, Sean",UFA,TCKL,--,--,--,--,LAC
DE,94,"Liuget, Corey",ACT,TCKL,36,0,0,--,LAC
DE,70,"Loewen, Mitchell",ACT,TCKL,--,--,--,--,NO
DT,96,"Logan, Bennie",ACT,TCKL,24,2.5,2,--,KC
DE,56,"Long, Chris",ACT,TCKL,35,4,1,--,PHI
DE,96,"Longacre, Matt",ACT,TCKL,6,0,0,--,LA
