Pos,Num,Player Name,Status,TCKL,SCK,FF,INT,Team
DB,25,"Jefferson, Rickey",ACT,--,--,--,--,OAK
SS,23,"Jefferson, Tony",ACT,96,2,2,--,BAL
CB,20,"Jenkins, Janoris",ACT,49,1,1,3,NYG
SS,27,"Jenkins, Malcolm",ACT,72,1,0,3,PHI
DB,43,"Jenkins, Mike",UFA,--,--,--,--,ARI
SAF,3,"Jenkins, Rayshawn",ACT,--,--,--,--,LAC
DB,49,"Jerome, Lorenzo",ACT,--,--,--,--,SF
DB,42,"Johnson, Denzel",ACT,--,--,--,--,TEN
CB,36,"Johnson, Dontae",ACT,15,0,0,--,SF
SAF,27,"Johnson, Isaiah",ACT,1,0,0,--,LA
DB,39,"Johnson, Isaiah",ACT,--,--,--,--,TB
DB,31,"Johnson, Jadar",ACT,--,--,--,--,NYG
DB,,"Johnson, Jeron",UFA,5,0,0,--,SEA
SAF,43,"Johnson, John",ACT,--,--,--,--,LA
CB,29,"Johnson, Josh",ACT,9,0.5,0,--,JAX
FS,25,"Johnson, Rashad",UFA,38,0,1,--,TEN
CB,30,"Johnson, Kevin",ACT,25,0,0,--,HOU
DB,24,"Johnson, Leonard",ACT,30,1,0,--,BUF
CB,22,"Johnson, Trumaine",ACT,57,0,0,1,LA
CB,24,"Jones, Adam",ACT,66,0,1,1,CIN
DB,37,"Jones, Bryce",ACT,--,--,--,--,HOU
FS,31,"Jones, Byron",ACT,88,0,1,1,DAL
FS,42,"Jones, Colin",ACT,5,0,0,--,CAR
CB,41,"Jones, Cyrus",ACT,7,0,0,--,NE
DB,34,"Jones, David",ACT,--,--,--,--,NE
CB,31,"Jones, Derrick",ACT,--,--,--,--,NYJ
DB,20,"Jones, Don",ACT,12,0,0,0,SF
DB,39,"Jones, Jarnor",ACT,--,--,--,--,ATL
CB,31,"Jones, Jonathan",ACT,14,0,1,--,NE
SAF,27,"Jones, Josh",ACT,--,--,--,--,GB
FS,20,"Jones, Reshad",ACT,51,0.5,0,1,MIA
CB,22,"Jones, Sidney",ACT,--,--,--,--,PHI
SS,29,"Jones-Quartey, Harold",ACT,78,0,0,1,CHI
DB,35,"Jordan, Michael",ACT,20,0,0,--,LA
CB,24,"Joseph, Johnathan",ACT,45,0,1,--,HOU
SS,42,"Joseph, Karl",ACT,60,0,0,1,OAK
CB,20,"Joyner, Lamarcus",ACT,66,1,1,--,LA
CB,27,"Kazee, Damontae",ACT,--,--,--,--,ATL
SS,27,"Kearse, Jayron",ACT,6,0,0,--,MIN
DB,37,"Keeton, Bryson",ACT,1,0,0,--,NYJ
DB,49,"Keo, Shiloh",UFA,7,0,0,0,NO
SS,35,"Killebrew, Miles",ACT,28,0,0,1,DET
DB,29,"Killings, D.J.",ACT,--,--,--,--,NE
SS,30,"Kindred, Derrick",ACT,46,0,0,--,CLE
DB,25,"King, Akeem",ACT,--,--,--,--,ATL
DB,36,"King, Brandon",ACT,10,0,0,--,NE
DB,36,"King, Desmond",ACT,--,--,--,--,LAC
CB,20,"King, Kevin",ACT,--,--,--,--,GB
CB,27,"Kirkpatrick, Dre",ACT,46,0,0,3,CIN
CB,6,"Lampkin, Ashton",ACT,--,--,--,--,KC
CB,20,"Lane, Jeremy",ACT,49,0,0,--,SEA
CB,27,"Langley, Brendan",ACT,--,--,--,--,DEN
CB,34,"Lattimore, Marshon",ACT,--,--,--,--,NO
DB,46,"Lawrence, Des",ACT,--,--,--,--,DET
CB,24,"Lawson, Nevin",ACT,57,0,0,--,DET
CB,22,"LeBlanc, Cre'von",ACT,44,0,0,2,CHI
CB,41,"Levine, Anthony",ACT,11,0,0,--,BAL
CB,27,"Lewis, Jourdan",ACT,--,--,--,--,DAL
FS,23,"Lewis, Kendrick",UFA,6,0,1,--,BAL
DB,35,"Lewis, Ryan",ACT,--,--,--,--,ARI
DB,39,"Lewis-Harris, Chris",ACT,5,0,0,1,DEN
DB,33,"Likely, William",ACT,--,--,--,--,NE
CB,36,"Lippett, Tony",ACT,67,0,0,4,MIA
FS,20,"Lowery, Dwight",ACT,60,0,1,1,LAC
SAF,26,"Luani, Shalom",ACT,--,--,--,--,OAK
SS,21,"Lucas, Jordan",ACT,2,0,0,--,MIA
CB,32,"Luke, Cole",ACT,--,--,--,--,CAR
CB,26,"Mabin, Greg",ACT,--,--,--,--,BUF
CB,29,"Mager, Craig",ACT,31,0,0,1,LAC
DB,,"Magloire, Paul",RES,--,--,--,--,TB
FS,42,"Maragos, Chris",ACT,11,0,0,--,PHI
FS,29,"Marlowe, Dean",ACT,0,--,--,--,CAR
SS,42,"Martin, Ronald",ACT,1,0,0,--,NYJ
FS,32,"Mathieu, Tyrann",ACT,35,1,1,1,ARI
DB,41,"Mauger, Quincy",ACT,--,--,--,--,ATL
CB,37,"Maulet, Arthur",ACT,--,--,--,--,NO
CB,41,"Maxwell, Byron",ACT,53,0,4,2,MIA
SAF,26,"Maye, Marcus",ACT,--,--,--,--,NYJ
CB,28,"McCain, Bobby",ACT,45,1,1,1,MIA
CB,23,"McCain, Brice",ACT,38,0,0,2,TEN
DB,36,"McClain, Robert",ACT,39,0.5,0,0,TB
SS,23,"McCoil, Dexter",ACT,25,0,0,1,LAC
FS,32,"McCourty, Devin",ACT,83,0,1,1,NE
DB,35,"McCourty, Jason",ACT,69,0,0,2,CLE
DB,39,"McCray, Demetrius",ACT,--,--,--,--,SEA
DB,23,"McCray, L.J.",ACT,--,--,--,--,CAR
